949,¿Arde Paris?,René Clément,1966,V.O.S.,DVD124
34,12 del patíbulo,Robert Aldrich,1967,,DVD15
438,12  Monos,Terry Gilliam,1995,DVD,DVD
52,16 calles,Richard Donner,2006,Xvid,DVD19
411,1984,Michael Radford,1984,DVD'R,DVD'R
429,2001:Odisea en el espacio,Stanley Kubrick,1968,DVD'R,DVD'R
444,2010: Odisea dos,Peter Hyams,1984,,DVD87
162,2046,Wong-Kar Wai,2004,,DVD4
366,21 Gramos,Alejandro González Iñárritu,2003,Divx(16:9),CD'R
1017,23F,Chema de la Peña,2011,,DVD136
849,300,Zack Snyder,2007,,DVD91
262,5 Condiciones,Lars Von Trier,0,,DVD63
855,5 días en Saigón,Stephane Gauger,2008,,DVD93
222,Abajo el telón,Tim Robbins,1999,,DVD52
365,Abre los ojos,Alejandro Amenábar,1997,Divx,CD'R
393,Abyss,James Cameron,1989,Divx(4:3),CD'R
373,A Contrareloj,Carl Franklin,2003,Divx(16:9),CD'R
1001,Agenda oculta,Ken Loach,1990,,DVD131
903,Ágora,Alejandro Amenábar,2009,,DVD104
305,Ahora o nunca,Rob Reiner,2007,,DVD73
345,Alatriste,Agustín Díaz Yanes,2006,,DVD84
157,Alfie,Lewis Gilbert,1966,,DVD39
141,Alfie,Charles Shyer,2004,,DVD36
954,Algunos hombres buenos,Rob Reiner,1992,V.O.S,DVD125
277,Alta fidelidad,Stephen Frears,2000,,DVD66
265,Amadeus,Milos Forman,1984,,DVD64
270,Amar peligrosamente,Martin Campbell,2003,,DVD65
884,Amazing Grace,Michael Apted,2006,,DVD99
1014,Amenazados,Gregor Jordan,2010,,DVD135
882,America America,Elia Kazan,1963,,DVD99
218,American Gangster,Ridley Scott,2007,,DVD51
44,American Psycho,Mary Harron,2000,,DVD17
179,Amistad,Steven Spielberg,1997,,DVD43
75,Amor a quemarropa,Tony Scott,1993,,DVD23
925,An education,Lone Scherfig,2009,,DVD111
1031,Angeles y demonios,Ron Howard,2009,,DVD141
167,Annie Hall,Woody Allen,1977,,DVD40
923,Antes que el diablo sepa que has muerto,Sidney Lumet,2007,,DVD111
866,Anticristo,Lars Von Trier,2009,,DVD95
385,Apocalypse Now,Francis Ford Coppola,1979,DVD,DVD
288,Apocalypto,Mel Gibson,2006,,DVD69
209,A proposito de Schmidt,Alexander Payne,2002,null,DVD5
862,Arenas sangrientas,Allan Dwan,1949,,DVD94
113,Arizona baby,Joel & Ethan Coen,1987,null,DVD30
17,Arlington Road,Mark Pellington,1999,null,DVD12
168,Arsénico por compasión,Frank Capra,1944,,DVD41
33,A scanner Darkly,Richard Linklatter,2006,,DVD15
82,Ases Calientes,Joe Carnaham,2007,,DVD24
286,Asesinato Justo,Jon Avnet,2008,,DVD69
362,Atrapado en el tiempo,Harold Ramis,1992,VCD,CD'R
114,Atrapa el fuego,Philip Noyce,2006,,DVD30
315,Australia,Baz Luhrmann,2008,,DVD76
963,Babel,Alejandro González Iñárritu,2006,,DVD128
16,Bailando en la oscuridad,Lars Von trier,2000,,DVD12
991,Bajo la piel,Jada Pinkett Smith,2008,,DVD120
195,Balas sobre Broadway,Woody Allen,1994,,DVD46
24,Banderas de nuestros padres,Clint Eastwood,2006,,DVD14
430,Barry Lyndon,Stanley Kubrick,1975,null,CD'R
15,Barton Fink,Joel & Ethan Coen,1991,,DVD12
221,Beetlejuice,Tim Burton,1998,,DVD52
246,Ben Hur,William wyler,1959,,DVD59
912,Bienvenido Mr. Chance,Hal Ashby,1979,,DVD107
987,Big fish,Tim Burton,2003,,DVD118
1025,Biutiful,Alejandro González Iñárritu,2010,,DVD139
424,Black Hawk Down,Ridley Scott,2001,DVD,DVD
148,Black Rain,Ridley Scott,1989,,DVD37
